path	type	group	purpose	deps	size	decision	target_path	notes
core/skills/connections-optimizer/SKILL.md	skill	core-skills	Reorganize the user's X and LinkedIn network with review-first pruning, add/follow recommendations, and channel-specific warm outreach draft		189	cut		user approved proposed-cuts (cut)
core/skills/content-engine/SKILL.md	skill	core-skills	Create platform-native content systems for X, LinkedIn, TikTok, YouTube, newsletters, and repurposed multi-platform campaigns. Use when the 		131	cut		user approved proposed-cuts (cut)
core/skills/content-hash-cache-pattern/SKILL.md	skill	core-skills	Cache expensive file processing results using SHA-256 content hashes — path-independent, auto-invalidating, with service layer separation.		161	keep		user approved proposed-cuts (keep)
core/skills/context-budget/SKILL.md	skill	core-skills	Audits Claude Code context window consumption across agents, skills, MCP servers, and rules. Identifies bloat, redundant components, and pro		135	keep		user approved proposed-cuts (keep)
core/skills/continuous-agent-loop/SKILL.md	skill	core-skills	Patterns for continuous autonomous agent loops with quality gates, evals, and recovery controls.		45	keep		user approved proposed-cuts (keep)
core/skills/continuous-learning-v2/SKILL.md	skill	core-skills	Instinct-based learning system that observes sessions via hooks, creates atomic instincts with confidence scoring, and evolves them into ski	bundles 12 files (refs/scripts travel together)	360	keep		user approved proposed-cuts (keep)
core/skills/continuous-learning/SKILL.md	skill	core-skills	[DEPRECATED - use continuous-learning-v2] Legacy v1 stop-hook skill extractor. v2 is a strict superset with instinct-based, project-scoped, 	bundles 3 files (refs/scripts travel together)	131	cut		user approved proposed-cuts (cut)
core/skills/cost-aware-llm-pipeline/SKILL.md	skill	core-skills	Cost optimization patterns for LLM API usage — model routing by task complexity, budget tracking, retry logic, and prompt caching.		183	keep		user approved proposed-cuts (keep)
core/skills/cost-tracking/SKILL.md	skill	core-skills	Track and report Claude Code token usage, spending, and budgets from a local cost-tracking database. Use when the user asks about costs, spe		147	cut		user approved proposed-cuts (cut)
core/skills/council/SKILL.md	skill	core-skills	Convene a four-voice council for ambiguous decisions, tradeoffs, and go/no-go calls. Use when multiple valid paths exist and you need struct		203	keep		user approved proposed-cuts (keep)
core/skills/cpp-coding-standards/SKILL.md	skill	core-skills	C++ coding standards based on the C++ Core Guidelines (isocpp.github.io). Use when writing, reviewing, or refactoring C++ code to enforce mo		723	cut		user approved proposed-cuts (cut)
core/skills/cpp-testing/SKILL.md	skill	core-skills	Use only when writing/updating/fixing C++ tests, configuring GoogleTest/CTest, diagnosing failing or flaky tests, or adding coverage/sanitiz		324	cut		user approved proposed-cuts (cut)
core/skills/crosspost/SKILL.md	skill	core-skills	Multi-platform content distribution across X, LinkedIn, Threads, and Bluesky. Adapts content per platform using content-engine patterns. Nev		111	cut		user approved proposed-cuts (cut)
core/skills/customer-billing-ops/SKILL.md	skill	core-skills	Operate customer billing workflows such as subscriptions, refunds, churn triage, billing-portal recovery, and plan analysis using connected 		140	cut		user approved proposed-cuts (cut)
core/skills/customs-trade-compliance/SKILL.md	skill	core-skills	>		263	cut		user approved proposed-cuts (cut)
core/skills/dashboard-builder/SKILL.md	skill	core-skills	Build monitoring dashboards that answer real operator questions for Grafana, SigNoz, and similar platforms. Use when turning metrics into a 		108	keep		user approved proposed-cuts (keep)
core/skills/data-scraper-agent/SKILL.md	skill	core-skills	Build a fully automated AI-powered data collection agent for any public source — job boards, prices, news, GitHub, sports, anything. Scrapes		764	cut		user approved proposed-cuts (cut)
core/skills/data-throughput-accelerator/SKILL.md	skill	core-skills	Use when large data ingestion, backfill, export, ETL, warehouse loading, manifest catch-up, or table synchronization needs to become much fa		72	keep		user approved proposed-cuts (keep)
core/skills/database-migrations/SKILL.md	skill	core-skills	Database migration best practices for schema changes, data migrations, rollbacks, and zero-downtime deployments across PostgreSQL, MySQL, an		429	keep		user approved proposed-cuts (keep)
core/skills/deep-research/SKILL.md	skill	core-skills	Multi-source deep research using firecrawl and exa MCPs. Searches the web, synthesizes findings, and delivers cited reports with source attr		159	keep		user approved proposed-cuts (keep)
core/skills/defi-amm-security/SKILL.md	skill	core-skills	Security checklist for Solidity AMM contracts, liquidity pools, and swap flows. Covers reentrancy, CEI ordering, donation or inflation attac		166	cut		user approved proposed-cuts (cut)
core/skills/deployment-patterns/SKILL.md	skill	core-skills	Deployment workflows, CI/CD pipeline patterns, Docker containerization, health checks, rollback strategies, and production readiness checkli		427	keep		user approved proposed-cuts (keep)
core/skills/design-system/SKILL.md	skill	core-skills	Use this skill to generate or audit design systems, check visual consistency, and review PRs that touch styling.		82	keep		user approved proposed-cuts (keep)
core/skills/django-celery/SKILL.md	skill	core-skills	Django + Celery async task patterns — configuration, task design, beat scheduling, retries, canvas workflows, monitoring, and testing. Use w		457	keep		user approved proposed-cuts (keep)
core/skills/django-patterns/SKILL.md	skill	core-skills	Django architecture patterns, REST API design with DRF, ORM best practices, caching, signals, middleware, and production-grade Django apps.		734	keep		user approved proposed-cuts (keep)
core/skills/django-security/SKILL.md	skill	core-skills	Django security best practices, authentication, authorization, CSRF protection, SQL injection prevention, XSS prevention, and secure deploym		593	keep		user approved proposed-cuts (keep)
core/skills/django-tdd/SKILL.md	skill	core-skills	Django testing strategies with pytest-django, TDD methodology, factory_boy, mocking, coverage, and testing Django REST Framework APIs.		729	keep		user approved proposed-cuts (keep)
core/skills/django-verification/SKILL.md	skill	core-skills	Verification loop for Django projects: migrations, linting, tests with coverage, security scans, and deployment readiness checks before rele		469	keep		user approved proposed-cuts (keep)
core/skills/dmux-workflows/SKILL.md	skill	core-skills	Multi-agent orchestration using dmux (tmux pane manager for AI agents). Patterns for parallel agent workflows across Claude Code, Codex, Ope		191	keep		user approved proposed-cuts (keep)
core/skills/docker-patterns/SKILL.md	skill	core-skills	Docker and Docker Compose patterns for local development, container security, networking, volume strategies, and multi-service orchestration		364	keep		user approved proposed-cuts (keep)
core/skills/documentation-lookup/SKILL.md	skill	core-skills	Use up-to-date library and framework docs via Context7 MCP instead of training data. Activates for setup questions, API references, code exa		90	keep		user approved proposed-cuts (keep)
core/skills/e2e-testing/SKILL.md	skill	core-skills	Playwright E2E testing patterns, Page Object Model, configuration, CI/CD integration, artifact management, and flaky test strategies.		326	keep		user approved proposed-cuts (keep)
core/skills/ecc-guide/SKILL.md	skill	core-skills	Guide users through ECC's current agents, skills, commands, hooks, rules, install profiles, and project onboarding by reading the live repos		189	cut		user approved proposed-cuts (cut)
core/skills/ecc-tools-cost-audit/SKILL.md	skill	core-skills	Evidence-first ECC Tools burn and billing audit workflow. Use when investigating runaway PR creation, quota bypass, premium-model leakage, d		160	cut		user approved proposed-cuts (cut)
core/skills/email-ops/SKILL.md	skill	core-skills	Evidence-first mailbox triage, drafting, send verification, and sent-mail-safe follow-up workflow for ECC. Use when the user wants to organi		121	cut		user approved proposed-cuts (cut)
core/skills/energy-procurement/SKILL.md	skill	core-skills	>		228	cut		user approved proposed-cuts (cut)
core/skills/enterprise-agent-ops/SKILL.md	skill	core-skills	Operate long-lived agent workloads with observability, security boundaries, and lifecycle management.		50	keep		user approved proposed-cuts (keep)
core/skills/error-handling/SKILL.md	skill	core-skills	Patterns for robust error handling across TypeScript, Python, and Go. Covers typed errors, error boundaries, retries, circuit breakers, and 		376	keep		user approved proposed-cuts (keep)
core/skills/eval-harness/SKILL.md	skill	core-skills	Formal evaluation framework for Claude Code sessions implementing eval-driven development (EDD) principles		270	keep		user approved proposed-cuts (keep)
core/skills/evm-token-decimals/SKILL.md	skill	core-skills	Prevent silent decimal mismatch bugs across EVM chains. Covers runtime decimal lookup, chain-aware caching, bridged-token precision drift, a		130	cut		user approved proposed-cuts (cut)
core/skills/exa-search/SKILL.md	skill	core-skills	Neural search via Exa MCP for web, code, and company research. Use when the user needs web search, code examples, company intel, people look		107	keep		user approved proposed-cuts (keep)
core/skills/fal-ai-media/SKILL.md	skill	core-skills	Unified media generation via fal.ai MCP — image, video, and audio. Covers text-to-image (Nano Banana), text/image-to-video (Seedance, Kling,		288	cut		user approved proposed-cuts (cut)
core/skills/fastapi-patterns/SKILL.md	skill	core-skills	FastAPI patterns for async APIs, dependency injection, Pydantic request and response models, OpenAPI docs, tests, security, and production r		327	keep		user approved proposed-cuts (keep)
core/skills/finance-billing-ops/SKILL.md	skill	core-skills	Evidence-first revenue, pricing, refunds, team-billing, and billing-model truth workflow for ECC. Use when the user wants a sales snapshot, 		127	cut		user approved proposed-cuts (cut)
core/skills/flox-environments/SKILL.md	skill	core-skills	Create reproducible, cross-platform development environments with Flox — a declarative environment manager built on Nix. ALWAYS use this ski		496	cut		user approved proposed-cuts (cut)
core/skills/foundation-models-on-device/SKILL.md	skill	core-skills	Apple FoundationModels framework for on-device LLM — text generation, guided generation with @Generable, tool calling, and snapshot streamin		243	cut		user approved proposed-cuts (cut)
core/skills/frontend-a11y/SKILL.md	skill	core-skills	>		446	keep		user approved proposed-cuts (keep)
core/skills/frontend-design-direction/SKILL.md	skill	core-skills	Set an ECC-specific frontend design direction for production UI work. Use when building or improving websites, dashboards, applications, com		92	keep		user approved proposed-cuts (keep)
core/skills/frontend-patterns/SKILL.md	skill	core-skills	Frontend development patterns for React, Next.js, state management, performance optimization, and UI best practices.		642	keep		user approved proposed-cuts (keep)
core/skills/frontend-slides/SKILL.md	skill	core-skills	Create stunning, animation-rich HTML presentations from scratch or by converting PowerPoint files. Use when the user wants to build a presen	bundles 7 files (refs/scripts travel together)	184	cut		user approved proposed-cuts (cut)
core/skills/gan-style-harness/SKILL.md	skill	core-skills	GAN-inspired Generator-Evaluator agent harness for building high-quality applications autonomously. Based on Anthropic's March 2026 harness 		278	cut		user approved proposed-cuts (cut)
core/skills/gateguard/SKILL.md	skill	core-skills	Fact-forcing gate that blocks Edit/Write/Bash (including MultiEdit) and demands concrete investigation (importers, data schemas, user instru		125	keep		user approved proposed-cuts (keep)
core/skills/git-workflow/SKILL.md	skill	core-skills	Git workflow patterns including branching strategies, commit conventions, merge vs rebase, conflict resolution, and collaborative developmen		715	keep		user approved proposed-cuts (keep)
core/skills/github-ops/SKILL.md	skill	core-skills	GitHub repository operations, automation, and management. Issue triage, PR management, CI/CD operations, release management, and security mo		144	keep		user approved proposed-cuts (keep)
core/skills/google-workspace-ops/SKILL.md	skill	core-skills	Operate across Google Drive, Docs, Sheets, and Slides as one workflow surface for plans, trackers, decks, and shared documents. Use when the		95	cut		user approved proposed-cuts (cut)
core/skills/healthcare-cdss-patterns/SKILL.md	skill	core-skills	Clinical Decision Support System (CDSS) development patterns. Drug interaction checking, dose validation, clinical scoring (NEWS2, qSOFA), a		245	cut		user approved proposed-cuts (cut)
core/skills/healthcare-emr-patterns/SKILL.md	skill	core-skills	EMR/EHR development patterns for healthcare applications. Clinical safety, encounter workflows, prescription generation, clinical decision s		159	cut		user approved proposed-cuts (cut)
core/skills/healthcare-eval-harness/SKILL.md	skill	core-skills	Patient safety evaluation harness for healthcare application deployments. Automated test suites for CDSS accuracy, PHI exposure, clinical wo		207	cut		user approved proposed-cuts (cut)
core/skills/healthcare-phi-compliance/SKILL.md	skill	core-skills	Protected Health Information (PHI) and Personally Identifiable Information (PII) compliance patterns for healthcare applications. Covers dat		145	cut		user approved proposed-cuts (cut)
core/skills/hermes-imports/SKILL.md	skill	core-skills	Convert local Hermes operator workflows into sanitized ECC skills and release-pack artifacts. Use when preparing a Hermes workflow for publi		88	cut		user approved proposed-cuts (cut)
core/skills/hexagonal-architecture/SKILL.md	skill	core-skills	Design, implement, and refactor Ports & Adapters systems with clear domain boundaries, dependency inversion, and testable use-case orchestra		276	keep		user approved proposed-cuts (keep)
core/skills/hipaa-compliance/SKILL.md	skill	core-skills	HIPAA-specific entrypoint for healthcare privacy and security work. Use when a task is explicitly framed around HIPAA, PHI handling, covered		78	cut		user approved proposed-cuts (cut)
core/skills/homelab-network-readiness/SKILL.md	skill	core-skills	Readiness checklist for homelab VLAN segmentation, local DNS filtering, and WireGuard-style remote access before changing router, firewall, 		169	cut		user approved proposed-cuts (cut)
core/skills/homelab-network-setup/SKILL.md	skill	core-skills	Practical home and homelab network planning for gateways, switches, access points, IP ranges, DHCP reservations, DNS, cabling, and common be		129	cut		user approved proposed-cuts (cut)
core/skills/homelab-pihole-dns/SKILL.md	skill	core-skills	Pi-hole installation, blocklist management, DNS-over-HTTPS setup, DHCP integration, local DNS records, and troubleshooting broken DNS resolu		274	cut		user approved proposed-cuts (cut)
core/skills/homelab-vlan-segmentation/SKILL.md	skill	core-skills	Segmenting home networks into VLANs for IoT, guest, trusted, and server traffic using UniFi, pfSense/OPNsense, and MikroTik — including swit		311	cut		user approved proposed-cuts (cut)
core/skills/homelab-wireguard-vpn/SKILL.md	skill	core-skills	WireGuard VPN server setup, peer configuration, key generation, split tunneling vs full tunnel routing, and remote access to a home network 		305	cut		user approved proposed-cuts (cut)
core/skills/hookify-rules/SKILL.md	skill	core-skills	This skill should be used when the user asks to create a hookify rule, write a hook rule, configure hookify, add a hookify rule, or needs gu		128	keep		user approved proposed-cuts (keep)
core/skills/inventory-demand-planning/SKILL.md	skill	core-skills	>		247	cut		user approved proposed-cuts (cut)
core/skills/investor-materials/SKILL.md	skill	core-skills	Create and update pitch decks, one-pagers, investor memos, accelerator applications, financial models, and fundraising materials. Use when t		96	cut		user approved proposed-cuts (cut)
core/skills/investor-outreach/SKILL.md	skill	core-skills	Draft cold emails, warm intro blurbs, follow-ups, update emails, and investor communications for fundraising. Use when the user wants outrea		91	cut		user approved proposed-cuts (cut)
core/skills/ios-icon-gen/SKILL.md	skill	core-skills	Generate iOS app icons as PNG imagesets for Xcode asset catalogs from SF Symbols (5000+ Apple-native) or Iconify API (275k+ open source icon	bundles 3 files (refs/scripts travel together)	157	cut		user approved proposed-cuts (cut)
core/skills/iterative-retrieval/SKILL.md	skill	core-skills	Pattern for progressively refining context retrieval to solve the subagent context problem		211	keep		user approved proposed-cuts (keep)
core/skills/ito-basket-compare/SKILL.md	skill	core-skills	Compare Itô prediction-market baskets against a user's knowledge base, portfolio notes, financial context, watchlist, or research thesis. Us		63	cut		user approved proposed-cuts (cut)
core/skills/ito-data-atlas-agent/SKILL.md	skill	core-skills	Design background Data Atlas style agents for Itô basket research, market discovery, parameter drafting, and human-in-the-loop editing. Use 		63	cut		user approved proposed-cuts (cut)
core/skills/ito-market-intelligence/SKILL.md	skill	core-skills	Research prediction-market events, venues, underliers, liquidity, and news context for Itô basket workflows. Use for read-only market intell		60	cut		user approved proposed-cuts (cut)
core/skills/ito-trade-planner/SKILL.md	skill	core-skills	Build a non-advisory prediction-market trade planning worksheet for Itô or venue workflows. Use to inspect venues, underliers, constraints, 		67	cut		user approved proposed-cuts (cut)
core/skills/jira-integration/SKILL.md	skill	core-skills	Use this skill when retrieving Jira tickets, analyzing requirements, updating ticket status, adding comments, or transitioning issues. Provi		293	cut		user approved proposed-cuts (cut)
core/skills/jpa-patterns/SKILL.md	skill	core-skills	JPA/Hibernate patterns for entity design, relationships, query optimization, transactions, auditing, indexing, pagination, and pooling in Sp		151	cut		user approved proposed-cuts (cut)
core/skills/knowledge-ops/SKILL.md	skill	core-skills	Knowledge base management, ingestion, sync, and retrieval across multiple storage layers (local files, MCP memory, vector stores, Git repos)		154	cut		user approved proposed-cuts (cut)
core/skills/laravel-patterns/SKILL.md	skill	core-skills	Laravel architecture patterns, routing/controllers, Eloquent ORM, service layers, queues, events, caching, and API resources for production 		415	cut		user approved proposed-cuts (cut)
core/skills/laravel-plugin-discovery/SKILL.md	skill	core-skills	Discover and evaluate Laravel packages via LaraPlugins.io MCP. Use when the user wants to find plugins, check package health, or assess Lara		229	cut		user approved proposed-cuts (cut)
core/skills/laravel-security/SKILL.md	skill	core-skills	Laravel security best practices for authn/authz, validation, CSRF, mass assignment, file uploads, secrets, rate limiting, and secure deploym		285	cut		user approved proposed-cuts (cut)
core/skills/laravel-tdd/SKILL.md	skill	core-skills	Test-driven development for Laravel with PHPUnit and Pest, factories, database testing, fakes, and coverage targets.		283	cut		user approved proposed-cuts (cut)
core/skills/laravel-verification/SKILL.md	skill	core-skills	Verification loop for Laravel projects: env checks, linting, static analysis, tests with coverage, security scans, and deployment readiness.		179	cut		user approved proposed-cuts (cut)
core/skills/latency-critical-systems/SKILL.md	skill	core-skills	Use for latency-sensitive systems such as realtime dashboards, market data, streaming agents, execution gateways, queues, caches, or HFT-lik		73	keep		user approved proposed-cuts (keep)
core/skills/lead-intelligence/SKILL.md	skill	core-skills	AI-native lead intelligence and outreach pipeline. Replaces Apollo, Clay, and ZoomInfo with agent-powered signal scoring, mutual ranking, wa	bundles 5 files (refs/scripts travel together)	321	cut		user approved proposed-cuts (cut)
core/skills/liquid-glass-design/SKILL.md	skill	core-skills	iOS 26 Liquid Glass design system — dynamic glass material with blur, reflection, and interactive morphing for SwiftUI, UIKit, and WidgetKit		279	cut		user approved proposed-cuts (cut)
core/skills/llm-trading-agent-security/SKILL.md	skill	core-skills	Security patterns for autonomous trading agents with wallet or transaction authority. Covers prompt injection, spend limits, pre-send simula		146	cut		user approved proposed-cuts (cut)
core/skills/logistics-exception-management/SKILL.md	skill	core-skills	>		222	cut		user approved proposed-cuts (cut)
core/skills/make-interfaces-feel-better/SKILL.md	skill	core-skills	Apply concrete design-engineering details that make interfaces feel polished. Use when reviewing or improving UI spacing, typography, border		151	keep		user approved proposed-cuts (keep)
core/skills/manim-video/SKILL.md	skill	core-skills	Build reusable Manim explainers for technical concepts, graphs, system diagrams, and product walkthroughs, then hand off to the wider ECC vi	bundles 2 files (refs/scripts travel together)	89	cut		user approved proposed-cuts (cut)
core/skills/market-research/SKILL.md	skill	core-skills	Conduct market research, competitive analysis, investor due diligence, and industry intelligence with source attribution and decision-orient		75	cut		user approved proposed-cuts (cut)
core/skills/marketing-campaign/SKILL.md	skill	core-skills	End-to-end marketing campaign planning and execution. Covers audience research, positioning, campaign angle definition, landing page copy, e		113	cut		user approved proposed-cuts (cut)
core/skills/mcp-server-patterns/SKILL.md	skill	core-skills	Build MCP servers with Node/TypeScript SDK — tools, resources, prompts, Zod validation, stdio vs Streamable HTTP. Use Context7 or official M		69	keep		user approved proposed-cuts (keep)
core/skills/messages-ops/SKILL.md	skill	core-skills	Evidence-first live messaging workflow for ECC. Use when the user wants to read texts or DMs, recover a recent one-time code, inspect a thre		104	cut		user approved proposed-cuts (cut)
core/skills/mle-workflow/SKILL.md	skill	core-skills	Production machine-learning engineering workflow for data contracts, reproducible training, model evaluation, deployment, monitoring, and ro		346	keep		user approved proposed-cuts (keep)
core/skills/motion-advanced/SKILL.md	skill	core-skills	Advanced motion patterns for React / Next.js — drag & drop, gestures, text animations, SVG path drawing, custom hooks, imperative sequences 		596	keep		user approved proposed-cuts (keep)
core/skills/motion-foundations/SKILL.md	skill	core-skills	Motion tokens, spring presets, performance rules, device adaptation, accessibility enforcement, and SSR safety for React / Next.js using mot		299	keep		user approved proposed-cuts (keep)
core/skills/motion-patterns/SKILL.md	skill	core-skills	Production-ready animation patterns for React / Next.js — button, modal, toast, stagger, page transitions, exit animations, scroll, and layo		435	keep		user approved proposed-cuts (keep)
core/skills/motion-ui/SKILL.md	skill	core-skills	Production-ready UI motion system for React/Next.js. Use when implementing animations, transitions, or motion patterns.		575	keep		user approved proposed-cuts (keep)
core/skills/mysql-patterns/SKILL.md	skill	core-skills	MySQL and MariaDB schema, query, indexing, transaction, replication, and connection-pool patterns for production backends.		412	keep		user approved proposed-cuts (keep)
core/skills/nanoclaw-repl/SKILL.md	skill	core-skills	Operate and extend NanoClaw v2, ECC's zero-dependency session-aware REPL built on claude -p.		33	cut		user approved proposed-cuts (cut)
core/skills/nestjs-patterns/SKILL.md	skill	core-skills	NestJS architecture patterns for modules, controllers, providers, DTO validation, guards, interceptors, config, and production-grade TypeScr		230	keep		user approved proposed-cuts (keep)
core/skills/netmiko-ssh-automation/SKILL.md	skill	core-skills	Safe Python Netmiko patterns for read-only collection, bounded batch SSH, TextFSM parsing, guarded config changes, timeouts, and network aut		173	cut		user approved proposed-cuts (cut)
core/skills/network-bgp-diagnostics/SKILL.md	skill	core-skills	Diagnostics-only BGP troubleshooting patterns for neighbor state, route exchange, prefix policy, AS path inspection, and safe evidence colle		167	cut		user approved proposed-cuts (cut)
core/skills/network-config-validation/SKILL.md	skill	core-skills	Pre-deployment checks for router and switch configuration, including dangerous commands, duplicate addresses, subnet overlaps, stale referen		210	cut		user approved proposed-cuts (cut)
